user_id,car_id,title,description,mileage_km,color,transmission,negotiable,post_date
48,1,Dijual Toyota Yaris Hatchback (2016) - Biru dongker - otomatis,"Informasi mobil:
Brand: Toyota
Model: Toyota Yaris
Tipe Body: Hatchback
Tahun: 2016
Harga: 175000000 IDR",72739,Biru dongker,otomatis,False,2022-03-02
10,2,Dijual Toyota Yaris Hatchback (2018) - Perak - manual,"Informasi mobil:
Brand: Toyota
Model: Toyota Yaris
Tipe Body: Hatchback
Tahun: 2018
Harga: 215000000 IDR",77094,Perak,manual,False,2023-03-03
11,3,Dijual Toyota Yaris Hatchback (2014) - Perak - manual,"Informasi mobil:
Brand: Toyota
Model: Toyota Yaris
Tipe Body: Hatchback
Tahun: 2014
Harga: 162000000 IDR
Harga bisa nego",4815,Perak,manual,True,2022-11-30
85,4,Dijual Toyota Yaris Hatchback (2020) - Hijau tua - manual,"Informasi mobil:
Brand: Toyota
Model: Toyota Yaris
Tipe Body: Hatchback
Tahun: 2020
Harga: 220000000 IDR",80491,Hijau tua,manual,False,2023-03-06
15,5,Dijual Toyota Yaris Hatchback (2012) - Hijau muda - otomatis,"Informasi mobil:
Brand: Toyota
Model: Toyota Yaris
Tipe Body: Hatchback
Tahun: 2012
Harga: 124000000 IDR",86673,Hijau muda,otomatis,False,2022-06-07
20,6,Dijual Toyota Agya Hatchback (2019) - Zaitun - otomatis,"Informasi mobil:
Brand: Toyota
Model: Toyota Agya
Tipe Body: Hatchback
Tahun: 2019
Harga: 114000000 IDR
Harga bisa nego",75193,Zaitun,otomatis,True,2023-04-08
22,7,Dijual Toyota Agya Hatchback (2014) - Nila - manual,"Informasi mobil:
Brand: Toyota
Model: Toyota Agya
Tipe Body: Hatchback
Tahun: 2014
Harga: 97000000 IDR",80116,Nila,manual,False,2022-07-17
43,8,Dijual Toyota Agya Hatchback (2016) - Biru dongker - otomatis,"Informasi mobil:
Brand: Toyota
Model: Toyota Agya
Tipe Body: Hatchback
Tahun: 2016
Harga: 110000000 IDR",12671,Biru dongker,otomatis,False,2022-01-11
91,9,Dijual Toyota Agya Hatchback (2022) - Emas - otomatis,"Informasi mobil:
Brand: Toyota
Model: Toyota Agya
Tipe Body: Hatchback
Tahun: 2022
Harga: 155500000 IDR",53463,Emas,otomatis,False,2022-06-03
34,10,Dijual Toyota Agya Hatchback (2017) - Koral - manual,"Informasi mobil:
Brand: Toyota
Model: Toyota Agya
Tipe Body: Hatchback
Tahun: 2017
Harga: 115500000 IDR
Harga bisa nego",82024,Koral,manual,True,2022-10-30
2,11,Dijual Toyota Calya Wagon (2019) - Ungu - manual,"Informasi mobil:
Brand: Toyota
Model: Toyota Calya
Tipe Body: Wagon
Tahun: 2019
Harga: 130000000 IDR",20065,Ungu,manual,False,2022-05-30
